Generated by database/atmosphere/generate_atmosphere_table.py (pymsis)

Model: NRLMSISE-00
Date and time (UTC): 2015-01-01T01:30:00+00:00
Longitude [deg. East]: 1 point(s), 45.0 to 45.0
Latitude [deg. North]: 1 point(s), 55.0 to 55.0
F10.7 = 140.0, F10.7A = 146.0, Ap = 8.0
The species below the lower bound of the model are written as zero.

   Selected parameters are:
1 Height, km
2 O, cm-3
3 N2, cm-3
4 O2, cm-3
5 Mass_density, g/cm-3
6 Temperature_neutral, K
7 N, cm-3

          1          2          3          4          5          6          7
      138.0  3.059e+10  5.128e+10  4.701e+09  3.454e-12  5.803e+02  2.527e+06
      139.0  2.928e+10  4.791e+10  4.316e+09  3.242e-12  5.881e+02  2.701e+06
      140.0  2.806e+10  4.483e+10  3.969e+09  3.047e-12  5.958e+02  2.881e+06
      141.0  2.691e+10  4.200e+10  3.657e+09  2.868e-12  6.031e+02  3.067e+06
      142.0  2.584e+10  3.940e+10  3.374e+09  2.703e-12  6.102e+02  3.259e+06
      143.0  2.482e+10  3.700e+10  3.118e+09  2.550e-12  6.171e+02  3.456e+06
      144.0  2.387e+10  3.478e+10  2.886e+09  2.409e-12  6.238e+02  3.659e+06
      145.0  2.296e+10  3.273e+10  2.674e+09  2.278e-12  6.302e+02  3.865e+06
      146.0  2.211e+10  3.083e+10  2.482e+09  2.156e-12  6.365e+02  4.076e+06
      147.0  2.130e+10  2.907e+10  2.306e+09  2.043e-12  6.425e+02  4.289e+06
      148.0  2.054e+10  2.743e+10  2.146e+09  1.938e-12  6.483e+02  4.506e+06
      149.0  1.981e+10  2.590e+10  1.999e+09  1.840e-12  6.540e+02  4.724e+06
      150.0  1.913e+10  2.448e+10  1.864e+09  1.748e-12  6.594e+02  4.943e+06
      151.0  1.847e+10  2.315e+10  1.740e+09  1.662e-12  6.647e+02  5.163e+06
      152.0  1.785e+10  2.192e+10  1.625e+09  1.582e-12  6.698e+02  5.382e+06
      153.0  1.725e+10  2.076e+10  1.520e+09  1.507e-12  6.747e+02  5.601e+06
      154.0  1.669e+10  1.967e+10  1.423e+09  1.436e-12  6.795e+02  5.818e+06
      155.0  1.615e+10  1.866e+10  1.334e+09  1.369e-12  6.841e+02  6.033e+06
      156.0  1.563e+10  1.770e+10  1.251e+09  1.307e-12  6.886e+02  6.244e+06
      157.0  1.514e+10  1.681e+10  1.174e+09  1.248e-12  6.929e+02  6.452e+06
      158.0  1.467e+10  1.597e+10  1.103e+09  1.192e-12  6.970e+02  6.656e+06
      159.0  1.422e+10  1.518e+10  1.037e+09  1.140e-12  7.011e+02  6.855e+06
      160.0  1.378e+10  1.443e+10  9.750e+08  1.090e-12  7.050e+02  7.048e+06
      161.0  1.337e+10  1.371e+10  9.178e+08  1.043e-12  7.088e+02  7.235e+06
      162.0  1.297e+10  1.305e+10  8.645e+08  9.988e-13  7.124e+02  7.416e+06
      163.0  1.259e+10  1.243e+10  8.148e+08  9.570e-13  7.160e+02  7.589e+06
      164.0  1.222e+10  1.184e+10  7.684e+08  9.173e-13  7.194e+02  7.755e+06
      165.0  1.187e+10  1.128e+10  7.251e+08  8.796e-13  7.227e+02  7.913e+06
      166.0  1.153e+10  1.076e+10  6.846e+08  8.439e-13  7.259e+02  8.063e+06
      167.0  1.120e+10  1.026e+10  6.467e+08  8.100e-13  7.290e+02  8.204e+06
      168.0  1.088e+10  9.788e+09  6.112e+08  7.778e-13  7.320e+02  8.337e+06
      169.0  1.058e+10  9.342e+09  5.779e+08  7.471e-13  7.349e+02  8.461e+06
      170.0  1.029e+10  8.918e+09  5.467e+08  7.180e-13  7.377e+02  8.575e+06
      171.0  1.000e+10  8.516e+09  5.174e+08  6.902e-13  7.404e+02  8.680e+06
      172.0  9.732e+09  8.135e+09  4.899e+08  6.637e-13  7.430e+02  8.776e+06
      173.0  9.469e+09  7.773e+09  4.640e+08  6.385e-13  7.455e+02  8.863e+06
      174.0  9.215e+09  7.429e+09  4.397e+08  6.144e-13  7.480e+02  8.940e+06
      175.0  8.969e+09  7.103e+09  4.168e+08  5.915e-13  7.504e+02  9.008e+06
      176.0  8.732e+09  6.792e+09  3.952e+08  5.696e-13  7.527e+02  9.066e+06
      177.0  8.502e+09  6.497e+09  3.749e+08  5.486e-13  7.549e+02  9.116e+06
      178.0  8.280e+09  6.216e+09  3.558e+08  5.286e-13  7.570e+02  9.156e+06
      179.0  8.065e+09  5.948e+09  3.377e+08  5.095e-13  7.591e+02  9.188e+06
      180.0  7.857e+09  5.693e+09  3.207e+08  4.912e-13  7.611e+02  9.211e+06
      181.0  7.656e+09  5.451e+09  3.046e+08  4.737e-13  7.631e+02  9.226e+06
      182.0  7.461e+09  5.219e+09  2.894e+08  4.569e-13  7.650e+02  9.233e+06
      183.0  7.271e+09  4.999e+09  2.750e+08  4.408e-13  7.668e+02  9.231e+06
